time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
15.212155,-4.128250,1.037859,5.420096
15.252088,-1.105651,1.831914,6.145103
15.282057,-1.555463,0.230808,6.919695
15.322004,-3.134435,-0.352511,6.551365
15.351972,-2.747754,0.710373,5.606550
15.381910,-3.737874,2.312936,5.989376
15.421858,-2.056819,-1.265761,5.690803
15.451826,-3.509915,-0.979714,4.725281
15.481764,-3.239676,0.802893,4.869300
15.521711,-1.661083,-1.244073,4.668670
15.551679,-2.124262,-1.242196,4.124928
15.581648,-1.825068,-0.563807,3.085752
15.621565,-0.960088,-0.921299,2.078882
15.651533,0.895997,-1.175012,1.213350
15.681501,2.137781,-0.990673,-0.939430
15.721449,3.233930,-0.096258,-3.725140
15.751387,3.497912,0.642943,-5.224176
15.781355,3.668907,0.578695,-6.627234
15.821302,2.561614,0.458067,-7.373649
15.851240,3.229970,0.624226,-8.217779
15.881208,2.467413,2.091034,-8.494675
15.921156,1.118304,4.406179,-6.341576
15.951124,2.537533,4.913146,-6.177983
15.981062,2.516639,6.617394,-3.758982
16.021009,2.553656,6.718581,-0.671284
16.050978,3.357672,7.114716,-0.088329
16.080915,4.265433,6.832821,-0.441517
16.120863,2.309650,5.967621,-0.140321
16.150831,1.684391,7.193318,-0.007674
16.180799,2.081030,6.508381,-0.264267
16.220716,1.923699,4.771406,-0.204564
16.250663,1.295017,3.552168,-0.350591
16.280631,0.468661,3.115572,-0.792241
16.320578,-0.116447,1.344175,-0.114824
16.350516,-0.060654,0.061922,-0.041631
16.380484,-0.594163,-2.544085,0.071663
16.420432,-0.166797,-6.263402,1.059509
16.450370,-0.459302,-10.509029,1.935123
16.480338,-1.235904,-11.749323,1.992907
16.520285,-1.907350,-10.767614,0.962880
16.550254,-3.060060,-10.453316,0.761720
16.580191,-6.123556,-9.426916,3.106049
16.620139,-4.079176,-7.742273,2.155759
16.650107,-2.778510,-5.787745,2.054515
16.680045,0.278094,-2.539217,1.894736
16.719992,1.567687,-1.649402,2.206698
16.749961,0.929882,-2.066078,2.280982
16.779929,-0.504641,-1.339889,2.339482
16.819846,-0.398441,-0.252961,3.431509
16.849814,-1.121795,0.266284,4.317969
16.879782,-0.677244,-0.407013,4.085777
16.919730,-0.038398,-1.169112,2.023882
16.949668,-1.518094,-0.902203,1.141208
16.979636,-3.990341,-2.050001,1.215898
17.019584,-2.968821,-2.902297,1.451649
17.049521,-0.076826,-2.843414,0.697074
17.079490,0.583363,-2.254118,0.396133
17.119437,-0.245079,-0.796787,0.587373
17.149405,-0.430353,-0.926490,0.617426
17.179343,1.436260,-1.700331,0.325757
17.219291,-2.106202,0.452390,0.598318
17.249271,-0.984334,-0.117645,1.418107
17.279209,-0.231477,0.607911,1.085985
17.319156,-1.534092,1.508659,0.450800
17.349124,0.331433,0.830742,-0.128858
17.379093,1.321949,0.057369,-0.586562
17.419010,4.072652,3.884096,0.753703
17.448978,4.068766,1.072529,3.599258
17.488925,2.504753,-1.166105,2.580313
17.518894,1.463872,-0.951123,2.819007
17.548831,2.607721,-0.835887,5.029316
17.588779,3.496286,-0.661585,7.868798
17.618747,4.207578,-0.866398,9.189304
17.648685,4.765318,-1.373628,10.040457
17.678653,4.643325,-1.109096,11.189181
17.718601,3.835442,-0.909443,10.977948
17.748569,2.122359,-1.451066,10.634923
17.778507,2.345450,-1.692328,9.337558
17.818454,2.166307,-2.628852,5.715367
17.848422,1.824861,-2.468386,2.138363
17.888370,2.124117,-2.562702,-1.352575
17.918308,3.202219,-4.428671,-2.678207
17.948276,3.946398,-3.816075,-3.435642
17.988223,5.848558,-3.210836,-4.804987
18.018161,7.662266,-0.990758,-5.560746
18.048129,7.041320,0.631408,-5.997307
18.088077,6.591690,1.673480,-5.530655
18.118045,6.420517,2.162981,-5.684129
18.147983,5.970808,1.607422,-6.584852
